Candidate Name,Email,Department Code,Clarity of questions,Usability of Test Interface,Usability of Code Editor,Fairness of skill assessment,Extra Comment
Beecher,Beecher1970@yahoo.com,B,4.0,4.0,4.0,4.0,
Kelsie,Kelsie1983@yahoo.com,D,5.0,1.0,5.0,5.0,Please provide all test cases available to programmer if possible.
Gianni,Gianni1981@,B,3.0,3.0,3.0,3.0,
Clemmie,Clemmie1983@gmail.com,A,3.0,3.0,3.0,3.0,
Jerel,Jerel1987@gmail.com,D,4.0,4.0,4.0,3.0,
Isam,Isam1977@company.com,D,5.0,5.0,5.0,5.0,
Arnav,Arnav1979@yahoo.com,A,5.0,5.0,5.0,5.0,
Onie,Onie1976@,D,4.0,4.0,4.0,4.0,
Mikel,Mikel1990@gmail.com,E,5.0,5.0,5.0,5.0,
Jaida,Jaida1991@company.com,C,3.0,3.0,2.0,3.0,
Chanel,Chanel1980@hotmail.com,C,3.0,3.0,3.0,3.0,
Vinie,Vinie1980@hotmail.com,H,1.0,1.0,1.0,1.0,questions were not clear at all..leetcode is far better platform . I wasted 2 hour to solve runtime error but still didn't know why i it was giving that. 
Joel,Joel1983@company.in,B,3.0,3.0,3.0,3.0,
Delois,Delois1989@yahoo.com,D,5.0,5.0,5.0,5.0,
Alberta,Alberta1987@hotmail.com,E,5.0,5.0,5.0,5.0,
Anna,Anna1973@yahoo.com,D,4.0,4.0,4.0,4.0,
Emelia,Emelia1976@company.in,A,5.0,3.0,5.0,5.0,
Gretchen,Gretchen1985@company.com,G,5.0,5.0,5.0,5.0,
Tolbert,Tolbert1971@hotmail.com,E,5.0,5.0,5.0,5.0,
Porfirio,Porfirio1987@company.in,A,4.0,4.0,4.0,4.0,
Urijah,Urijah1982@hotmail.com,E,4.0,5.0,5.0,5.0,
Harm,Harm1993@,B,4.0,4.0,4.0,3.0,
Bulah,Bulah1978@company.in,G,5.0,2.0,2.0,1.0,
Nena,Nena1971@yahoo.com,F,3.0,3.0,4.0,3.0,
Dorothea,Dorothea1981@yahoo.com,G,5.0,4.0,5.0,4.0,
Wilbert,Wilbert1993@hotmail.com,H,5.0,4.0,2.0,4.0,
Nylah,Nylah1978@,H,4.0,4.0,5.0,4.0,
Florence,Florence1977@hotmail.com,A,3.0,2.0,3.0,3.0,"good task in this server_x005F_x000D_
"
Syed,Syed1978@gmail.com,F,3.0,3.0,3.0,3.0,
Desmond,Desmond1976@,E,4.0,5.0,5.0,5.0,
